id,start1,end1,start2,end2,length,distance
74,155393,155457,1954333,1954397,64,1798876
75,155393,155456,2113842,2113905,63,1958386
76,155393,155456,2239246,2239309,63,1924846
77,155393,155451,2741916,2741974,58,1422181
78,155393,155455,2924771,2924833,62,1239322
79,155393,155450,3237825,3237882,57,926273
80,155393,155456,3665642,3665705,63,498450
81,155393,155456,3995480,3995543,63,168612
82,155400,155450,3547250,3547300,50,616862
83,180960,181050,960598,960688,90,779548
84,215390,215453,953198,953261,63,737745
85,215390,215453,2114138,2114201,63,1898685
86,215390,215453,2552394,2552457,63,1671695
87,215391,215453,254083,254145,62,38630
88,215391,215453,601129,601191,62,385676
89,215391,215453,601160,601222,62,385707
90,215391,215453,601191,601253,62,385738
91,215391,215453,601222,601284,62,385769
92,215391,215453,601253,601315,62,385800
93,215391,215453,601284,601346,62,385831
94,215391,215453,810572,810634,62,595119
95,215391,215453,810603,810665,62,595150
96,215391,215453,810634,810696,62,595181
97,215391,215453,810665,810727,62,595212
98,215391,215453,810696,810758,62,595243
99,215391,215453,810727,810789,62,595274
100,215391,215453,902216,902278,62,686763
101,215391,215453,902247,902309,62,686794
102,215391,215453,902278,902340,62,686825
103,215391,215453,902309,902371,62,686856
104,215391,215453,902340,902402,62,686887
105,215391,215453,902371,902433,62,686918
106,215391,215453,902402,902464,62,686949
107,215391,215453,952859,952921,62,737406
108,215391,215453,952890,952952,62,737437
109,215391,215453,952921,952983,62,737468
110,215391,215453,952952,953014,62,737499
111,215391,215453,952983,953045,62,737530
112,215391,215453,953230,953292,62,737777
113,215391,215453,953261,953323,62,737808
114,215391,215453,953292,953354,62,737839
115,215391,215453,1264161,1264223,62,1048708
116,215391,215453,1951066,1951128,62,1735613
117,215391,215453,2113903,2113965,62,1898450
118,215391,215453,2113934,2113996,62,1898481
119,215391,215453,2113965,2114027,62,1898512
120,215391,215453,2113996,2114058,62,1898543
121,215391,215446,2114027,2114082,55,1898581
122,215391,215453,2114170,2114232,62,1898717
123,215391,215453,2114201,2114263,62,1898748
124,215391,215453,2114232,2114294,62,1898779
125,215391,215453,2114263,2114325,62,1898810
126,215391,215453,2114294,2114356,62,1898841
127,215391,215453,2387947,2388009,62,1836144
128,215391,215453,2387978,2388040,62,1836113
129,215391,215449,2388009,2388067,58,1836086
130,215391,215453,2388071,2388133,62,1836020
131,215391,215453,2388102,2388164,62,1835989
132,215391,215453,2388133,2388195,62,1835958
133,215391,215453,2464314,2464376,62,1759777
134,215391,215453,2464345,2464407,62,1759746
135,215391,215449,2464376,2464434,58,1759719
136,215391,215453,2464438,2464500,62,1759653
137,215391,215453,2464469,2464531,62,1759622
138,215391,215453,2464500,2464562,62,1759591
139,215391,215449,2464531,2464589,58,1759564
140,215391,215453,2464593,2464655,62,1759498
141,215391,215453,2464624,2464686,62,1759467
142,215391,215453,2464655,2464717,62,1759436
143,215391,215453,2552426,2552488,62,1671665
144,215391,215453,2552457,2552519,62,1671634
145,215391,215453,2696911,2696973,62,1527180
146,215391,215453,2804335,2804397,62,1419756
147,215391,215453,2804366,2804428,62,1419725
148,215391,215453,2852003,2852065,62,1372088
149,215391,215453,2852034,2852096,62,1372057
150,215391,215453,2852065,2852127,62,1372026
151,215391,215453,3665703,3665765,62,558388
152,215391,215453,3665734,3665796,62,558357
153,215391,215453,3665765,3665827,62,558326
154,215391,215453,3665796,3665858,62,558295
155,215391,215453,3665827,3665889,62,558264
156,215391,215449,3665858,3665916,58,558237
157,215391,215453,3665920,3665982,62,558171
158,215391,215453,3665951,3666013,62,558140
159,215391,215453,3665982,3666044,62,558109
160,215391,215453,3666013,3666075,62,558078
161,215391,215453,3687332,3687394,62,536759
162,215391,215453,3687363,3687425,62,536728
163,215391,215453,3687394,3687456,62,536697
164,215391,215453,3687425,3687487,62,536666
165,215391,215453,3687456,3687518,62,536635
166,215391,215453,3687487,3687549,62,536604
167,215391,215453,3687518,3687580,62,536573
168,215391,215453,3687549,3687611,62,536542
169,215391,215453,3687580,3687642,62,536511
170,215391,215453,3687611,3687673,62,536480
171,215391,215453,3995541,3995603,62,228550
172,215391,215453,3995572,3995634,62,228519
173,215391,215453,3995603,3995665,62,228488
174,215401,215453,601108,601160,52,385655
175,215401,215453,902195,902247,52,686742
176,215401,215453,2113882,2113934,52,1898429
177,215401,215453,3665682,3665734,52,558429
178,215401,215453,3995520,3995572,52,228591
179,231763,231814,3955102,3955153,51,285372
180,232467,232517,3955830,3955880,50,285349
181,232538,232645,3955901,3956008,107,285292
182,232646,232851,3956009,3956214,205,285194
183,232763,232849,725521,725607,86,492672
184,232850,233173,725608,725931,323,492435
185,232850,232901,1574851,1574902,51,1341950
186,254079,254149,601125,601195,70,346976
187,254079,254149,601156,601226,70,347007
188,254079,254149,601187,601257,70,347038
189,254079,254149,601218,601288,70,347069
190,254079,254149,601249,601319,70,347100
191,254079,254150,601280,601351,71,347130
192,254079,254149,810568,810638,70,556419
193,254079,254149,810599,810669,70,556450
194,254079,254149,810630,810700,70,556481
195,254079,254149,810661,810731,70,556512
196,254079,254149,810692,810762,70,556543
197,254079,254148,810723,810792,69,556575
198,254079,254149,902212,902282,70,648063
199,254079,254149,902243,902313,70,648094
200,254079,254149,902274,902344,70,648125
201,254079,254149,902305,902375,70,648156
202,254079,254149,902336,902406,70,648187
203,254079,254149,902367,902437,70,648218
204,254079,254149,902398,902468,70,648249
205,254079,254149,952855,952925,70,698706
206,254079,254149,952886,952956,70,698737
207,254079,254149,952917,952987,70,698768
208,254079,254149,952948,953018,70,698799
209,254079,254149,952979,953049,70,698830
210,254079,254149,953226,953296,70,699077
211,254079,254149,953257,953327,70,699108
212,254079,254149,953288,953358,70,699139
213,254079,254149,2113899,2113969,70,1859750
214,254079,254149,2113930,2114000,70,1859781
215,254079,254149,2113961,2114031,70,1859812
216,254079,254149,2113992,2114062,70,1859843
217,254079,254138,2114023,2114082,59,1859885
218,254079,254149,2114166,2114236,70,1860017
219,254079,254149,2114197,2114267,70,1860048
220,254079,254149,2114228,2114298,70,1860079
221,254079,254149,2114259,2114329,70,1860110
222,254079,254149,2114290,2114360,70,1860141
223,254079,254149,2387943,2388013,70,1874828
224,254079,254149,2387974,2388044,70,1874797
225,254079,254141,2388005,2388067,62,1874774
226,254079,254149,2388098,2388168,70,1874673
227,254079,254150,2388129,2388200,71,1874641
228,254079,254149,2464310,2464380,70,1798461
229,254079,254149,2464341,2464411,70,1798430
230,254079,254141,2464372,2464434,62,1798407
231,254079,254149,2464465,2464535,70,1798306
232,254079,254149,2464496,2464566,70,1798275
233,254079,254141,2464527,2464589,62,1798252
234,254079,254149,2464620,2464690,70,1798151
235,254079,254149,2464651,2464721,70,1798120
236,254079,254149,2552422,2552492,70,1710349
237,254079,254149,2552453,2552523,70,1710318
238,254079,254149,2804331,2804401,70,1458440
239,254079,254149,2804362,2804432,70,1458409
240,254079,254149,2852030,2852100,70,1410741
241,254079,254149,2852061,2852131,70,1410710
242,254079,254149,3665699,3665769,70,597072
243,254079,254149,3665730,3665800,70,597041
244,254079,254149,3665761,3665831,70,597010
245,254079,254149,3665792,3665862,70,596979
246,254079,254149,3665823,3665893,70,596948
247,254079,254141,3665854,3665916,62,596925
248,254079,254149,3665947,3666017,70,596824
249,254079,254149,3665978,3666048,70,596793
250,254079,254149,3666009,3666079,70,596762
251,254079,254149,3687328,3687398,70,575443
252,254079,254149,3687359,3687429,70,575412
253,254079,254149,3687390,3687460,70,575381
254,254079,254149,3687421,3687491,70,575350
255,254079,254149,3687452,3687522,70,575319
256,254079,254149,3687483,3687553,70,575288
257,254079,254149,3687514,3687584,70,575257
258,254079,254149,3687545,3687615,70,575226
259,254079,254149,3687576,3687646,70,575195
260,254079,254149,3687607,3687677,70,575164
261,254079,254149,3995537,3995607,70,267234
262,254079,254149,3995568,3995638,70,267203
263,254079,254149,3995599,3995669,70,267172
264,254080,254149,2388068,2388137,69,1874705
265,254080,254149,2464435,2464504,69,1798338
266,254080,254149,2464590,2464659,69,1798183
267,254080,254149,3665917,3665986,69,596856
268,254082,254149,1264160,1264227,67,1010011
269,254082,254148,1951065,1951131,66,1696917
270,254083,254149,953199,953265,66,699050
271,254083,254149,2114139,2114205,66,1859990
272,254083,254149,2552395,2552461,66,1710384
273,254083,254149,2696911,2696977,66,1565868
274,254083,254149,2852003,2852069,66,1410776
275,254093,254149,601108,601164,56,346959
276,254093,254149,902195,902251,56,648046
277,254093,254149,2113882,2113938,56,1859733
278,254093,254149,3665682,3665738,56,597117
279,254093,254149,3995520,3995576,56,267279
280,254099,254149,2804320,2804370,50,1458491
281,254099,254149,3687317,3687367,50,575494
282,283846,283906,3131835,3131895,60,1160713
283,306539,306615,2183002,2183078,76,1876387
284,306539,306615,3386395,3386471,76,928830
285,306543,306615,857011,857083,72,550396
286,306543,306615,857183,857255,72,550568
287,306543,306615,1776521,1776593,72,1469906
288,306543,306615,2483604,2483676,72,1831629
289,306543,306617,3234296,3234370,74,1080935
290,306543,306615,3330906,3330978,72,984327
291,306543,306615,3331079,3331151,72,984154
292,306543,306615,3331465,3331537,72,983768
293,306543,306615,3507474,3507546,72,807759
294,306544,306615,1525705,1525776,71,1219090
295,306544,306618,3402615,3402689,74,912617
296,306546,306615,3633938,3634007,69,681301
297,306547,306615,729681,729749,68,423066
298,306547,306615,856885,856953,68,550270
299,306547,306615,873093,873161,68,566478
300,306547,306615,1776395,1776463,68,1469780
301,306547,306617,3259517,3259587,70,1055722
302,306547,306615,3331329,3331397,68,983912
303,306547,306618,3402490,3402561,71,912748
304,306547,306615,3634136,3634204,68,681105
305,306548,306611,497169,497232,63,190558
306,306548,306611,2321927,2321990,63,1993320
307,306551,306615,1355101,1355165,64,1048486
308,306554,306611,336689,336746,57,30078
309,306554,306611,706884,706941,57,400273
310,306554,306611,1229226,1229283,57,922615
311,306554,306611,1302215,1302272,57,995604
312,306554,306612,2100495,2100553,58,1793883
313,306554,306611,2745591,2745648,57,1569668
314,306554,306611,2919235,2919292,57,1396024
315,306554,306611,2949781,2949838,57,1365478
316,306554,306611,3763797,3763854,57,551462
317,336461,336561,662065,662165,100,325504
318,336462,336592,1767329,1767459,130,1430737
319,336463,336564,336494,336595,101,4008630
320,336463,336533,336525,336595,70,4008630
321,336463,336530,662098,662165,67,325568
322,336463,336526,873611,873674,63,537085
323,336463,336592,973809,973938,129,637217
324,336463,336561,973840,973938,98,637279
325,336463,336530,973871,973938,67,637341
326,336463,336561,974119,974217,98,637558
327,336463,336530,974150,974217,67,637620
328,336463,336595,1211102,1211234,132,874507
329,336463,336592,1211133,1211262,129,874541
330,336463,336561,1211164,1211262,98,874603
331,336463,336530,1211195,1211262,67,874665
332,336463,336595,1302051,1302183,132,965456
333,336463,336595,1302082,1302214,132,965487
334,336463,336582,1302113,1302232,119,965531
335,336463,336551,1302144,1302232,88,965593
336,336463,336520,1302175,1302232,57,965655
337,336463,336534,1761483,1761554,71,1424949
338,336463,336561,1767361,1767459,98,1430800
339,336463,336530,1767392,1767459,67,1430862
340,336463,336551,2949710,2949798,88,1395427
341,336463,336520,2949741,2949798,57,1395427
342,336463,336592,3285694,3285823,129,1059402
343,336463,336561,3285725,3285823,98,1059402
344,336463,336530,3285756,3285823,67,1059402
345,336463,336595,3340420,3340552,132,1004673
346,336463,336595,3340451,3340583,132,1004642
347,336463,336595,3340482,3340614,132,1004611
348,336463,336592,3340513,3340642,129,1004583
349,336463,336561,3340544,3340642,98,1004583
350,336463,336530,3340575,3340642,67,1004583
351,336463,336595,3372747,3372879,132,972346
352,336463,336595,3372778,3372910,132,972315
353,336463,336595,3372809,3372941,132,972284
354,336463,336595,3372840,3372972,132,972253
355,336463,336573,3372871,3372981,110,972244
356,336463,336542,3372902,3372981,79,972244
357,336464,336557,873581,873674,93,537024
358,336464,336565,1761453,1761554,101,1424888
359,336464,336514,2310212,2310262,50,1973698
360,336464,336582,2949680,2949798,118,1395428
361,336464,336595,3340390,3340521,131,1004705
362,336464,336520,3763758,3763814,56,581412
363,336465,336595,973780,973910,130,637185
364,336465,336595,1211073,1211203,130,874478
365,336465,336595,1302022,1302152,130,965427
366,336465,336595,3285665,3285795,130,1059432
367,336465,336595,3372718,3372848,130,972379
368,336466,336530,1343923,1343987,64,1007393
369,336479,336592,974104,974217,113,637512
370,336494,336592,662067,662165,98,325475
371,336494,336595,1767330,1767431,101,1430735
372,336495,336588,873581,873674,93,536993
373,336495,336595,1761453,1761553,100,1424858
374,336495,336545,2310212,2310262,50,1973667
375,336495,336595,2949680,2949780,100,1395477
376,336495,336595,3340390,3340490,100,1004767
377,336495,336551,3763758,3763814,56,581443
378,336496,336595,973780,973879,99,637185
379,336496,336595,1211073,1211172,99,874478
380,336496,336595,1302022,1302121,99,965427
381,336496,336595,3285665,3285764,99,1059494
382,336496,336595,3372718,3372817,99,972441
383,336497,336561,1343923,1343987,64,1007362
384,336510,336595,974104,974189,85,637509
385,336525,336595,662067,662137,70,325472
386,336525,336595,1767330,1767400,70,1430735
387,336526,336595,873581,873650,69,536986
388,336526,336595,1761453,1761522,69,1424858
389,336526,336576,2310212,2310262,50,1973636
390,336526,336595,2949680,2949749,69,1395539
391,336526,336595,3340390,3340459,69,1004829
392,336526,336582,3763758,3763814,56,581474
393,336527,336595,973780,973848,68,637185
394,336527,336595,1211073,1211141,68,874478
395,336527,336595,1302022,1302090,68,965427
396,336527,336595,3285665,3285733,68,1059556
397,336527,336595,3372718,3372786,68,972503
398,336528,336592,1343923,1343987,64,1007331
399,336541,336595,974104,974158,54,637509
400,336565,336626,497020,497081,61,160394
401,336565,336626,497051,497112,61,160425
402,336565,336626,497082,497143,61,160456
403,336565,336626,497113,497174,61,160487
404,336565,336626,2321840,2321901,61,1985214
405,336565,336626,2321871,2321932,61,1985245
406,336596,336675,336627,336706,79,4008652
407,336596,336685,662076,662165,89,325391
408,336596,336654,662107,662165,58,325453
409,336596,336681,873589,873674,85,536908
410,336596,336650,873620,873674,54,536970
411,336596,336706,973787,973897,110,637081
412,336596,336706,973818,973928,110,637112
413,336596,336685,973849,973938,89,637164
414,336596,336654,973880,973938,58,637226
415,336596,336685,974128,974217,89,637443
416,336596,336654,974159,974217,58,637505
417,336596,336706,1211080,1211190,110,874374
418,336596,336706,1211111,1211221,110,874405
419,336596,336706,1211142,1211252,110,874436
420,336596,336685,1211173,1211262,89,874488
421,336596,336654,1211204,1211262,58,874550
422,336596,336706,1302029,1302139,110,965323
423,336596,336706,1302060,1302170,110,965354
424,336596,336706,1302091,1302201,110,965385
425,336596,336746,1302122,1302272,150,965376
426,336596,336675,1302153,1302232,79,965478
427,336596,336654,1343929,1343987,58,1007275
428,336596,336689,1761461,1761554,93,1424772
429,336596,336658,1761492,1761554,62,1424834
430,336596,336706,1767339,1767449,110,1430633
431,336596,336685,1767370,1767459,89,1430685
432,336596,336654,1767401,1767459,58,1430747
433,336596,336746,2949688,2949838,150,1395520
434,336596,336675,2949719,2949798,79,1395560
435,336596,336706,3285672,3285782,110,1059576
436,336596,336706,3285703,3285813,110,1059545
437,336596,336685,3285734,3285823,89,1059535
438,336596,336654,3285765,3285823,58,1059535
439,336596,336706,3340398,3340508,110,1004850
440,336596,336706,3340429,3340539,110,1004819
441,336596,336706,3340460,3340570,110,1004788
442,336596,336706,3340491,3340601,110,1004757
443,336596,336706,3340522,3340632,110,1004726
444,336596,336685,3340553,3340642,89,1004716
445,336596,336654,3340584,3340642,58,1004716
446,336596,336706,3372725,3372835,110,972523
447,336596,336706,3372756,3372866,110,972492
448,336596,336706,3372787,3372897,110,972461
449,336596,336706,3372818,3372928,110,972430
450,336596,336706,3372849,3372959,110,972399
451,336596,336697,3372880,3372981,101,972377
452,336596,336666,3372911,3372981,70,972377
453,336603,336706,974104,974207,103,637398
454,336618,336706,662067,662155,88,325361
455,336618,336706,1767330,1767418,88,1430624
456,336619,336706,873581,873668,87,536875
457,336619,336706,1761453,1761540,87,1424747
458,336619,336669,2310212,2310262,50,1973543
459,336619,336706,2949680,2949767,87,1395614
460,336619,336706,3340390,3340477,87,1004904
461,336619,336675,3763758,3763814,56,581567
462,336620,336706,973780,973866,86,637074
463,336620,336706,1211073,1211159,86,874367
464,336620,336706,1302022,1302108,86,965316
465,336620,336706,3285665,3285751,86,1059631
466,336620,336706,3372718,3372804,86,972578
467,336621,336685,1343923,1343987,64,1007238
468,336634,336706,974104,974176,72,637398
469,336649,336706,662067,662124,57,325361
470,336649,336706,1767330,1767387,57,1430624
471,336650,336706,873581,873637,56,536875
472,336650,336706,1761453,1761509,56,1424747
473,336650,336700,2310212,2310262,50,1973512
474,336650,336706,2949680,2949736,56,1395676
475,336650,336706,3340390,3340446,56,1004966
476,336650,336747,3763758,3763855,97,581557
477,336651,336706,973780,973835,55,637074
478,336651,336706,1211073,1211128,55,874367
479,336651,336706,1302022,1302077,55,965316
480,336651,336706,3285665,3285720,55,1059693
481,336651,336706,3372718,3372773,55,972640
482,336652,336706,1343923,1343977,54,1007217
483,336682,336746,706877,706941,64,370131
484,336683,336746,1229220,1229283,63,892474
485,336685,336746,2100491,2100552,61,1763745
486,336688,336746,2745590,2745648,58,1599802
487,336688,336746,2919234,2919292,58,1426158
488,336689,336746,497175,497232,57,160429
489,336689,336746,729688,729745,57,392942
490,336689,336746,856892,856949,57,520146
491,336689,336746,857022,857079,57,520276
492,336689,336746,857194,857251,57,520448
493,336689,336746,873100,873157,57,536354
494,336689,336746,1355104,1355161,57,1018358
495,336689,336746,1525715,1525772,57,1188969
496,336689,336746,1776402,1776459,57,1439656
497,336689,336746,1776532,1776589,57,1439786
498,336689,336746,2183017,2183074,57,1846271
499,336689,336746,2321933,2321990,57,1985187
500,336689,336746,2483615,2483672,57,1861779
501,336689,336746,3234307,3234364,57,1111087
502,336689,336746,3259524,3259581,57,1085870
503,336689,336746,3330917,3330974,57,1014477
504,336689,336746,3331090,3331147,57,1014304
505,336689,336746,3331336,3331393,57,1014058
506,336689,336746,3331476,3331533,57,1013918
507,336689,336746,3386410,3386467,57,958984
508,336689,336746,3402497,3402554,57,942897
509,336689,336746,3402625,3402682,57,942769
510,336689,336746,3507485,3507542,57,837909
511,336689,336746,3633946,3634003,57,711448
512,336689,336746,3634143,3634200,57,711251
513,342888,342945,2760328,2760385,57,1591265
514,342902,343105,342934,343137,203,4008527
515,342902,343073,342966,343137,171,4008527
516,342902,343041,342998,343137,139,4008527
517,354061,354115,3607597,3607651,54,755172
518,366142,366341,366172,366371,199,4008533
519,366142,366311,366202,366371,169,4008533
520,366142,366281,366232,366371,139,4008533
521,366142,366251,1422247,1422356,109,1055996
522,366142,366221,1422277,1422356,79,1056056
523,366157,366281,1422232,1422356,124,1055951
524,366187,366311,1422232,1422356,124,1055921
525,366217,366341,1422232,1422356,124,1055891
526,366247,366371,1422232,1422356,124,1055861
527,366277,366371,1422232,1422326,94,1055861
528,366307,366371,1422232,1422296,64,1055861
529,368908,368958,1249414,1249464,50,880456
530,386228,386278,2454524,2454574,50,1940416
531,388243,388316,3590021,3590094,73,806911
532,402670,402753,3590356,3590439,83,820993
533,402677,402762,769790,769875,85,367028
534,402677,402762,1002502,1002587,85,599740
535,402677,402754,1002665,1002742,77,599911
536,402677,402753,1464154,1464230,76,1061401
537,402677,402753,2145324,2145400,76,1742571
538,402677,402753,2203846,2203922,76,1801093
539,402677,402753,2400847,2400923,76,1998094
540,402679,402753,3564487,3564561,74,846880
541,402683,402753,1487217,1487287,70,1084464
542,402685,402762,563355,563432,77,160593
543,402685,402753,769659,769727,68,366906
544,402685,402762,1464028,1464105,77,1061266
545,402685,402764,3392990,3393069,79,1018378
546,402685,402754,3393184,3393253,69,1018194
547,402685,402753,3416431,3416499,68,994948
548,402688,402746,1819290,1819348,58,1416544
549,402688,402746,1995047,1995105,58,1592301
550,402688,402746,2770055,2770113,58,1641337
551,402688,402746,2937763,2937821,58,1473629
552,402688,402746,2938052,2938110,58,1473340
553,402689,402746,575880,575937,57,173134
554,402689,402746,601068,601125,57,198322
555,402689,402752,1286863,1286926,63,884111
556,402689,402746,1733100,1733157,57,1330354
557,402689,402746,1954333,1954390,57,1551587
558,402689,402746,2113842,2113899,57,1711096
559,402689,402746,2239246,2239303,57,1836500
560,402689,402746,2741916,2741973,57,1669478
561,402689,402746,2924771,2924828,57,1486623
562,402689,402753,3237825,3237889,64,1173562
563,402689,402746,3665642,3665699,57,745752
564,402689,402746,3995480,3995537,57,415914
565,402696,402746,3547250,3547300,50,864158
566,402809,402886,769653,769730,77,366767
567,402809,402883,3392984,3393058,74,1018513
568,402809,402883,3393178,3393252,74,1018319
569,402813,402883,563353,563423,70,160470
570,402813,402883,1464026,1464096,70,1061143
571,402814,402888,3416430,3416504,74,995072
572,402815,402883,769798,769866,68,366915
573,402815,402883,1002510,1002578,68,599627
574,402815,402883,1002673,1002741,68,599790
575,402815,402886,1464162,1464233,71,1061276
576,402815,402887,1487219,1487291,72,1084332
577,402815,402887,2145332,2145404,72,1742445
578,402815,402887,2203854,2203926,72,1800967
579,402815,402886,2400855,2400926,71,1997969
580,402815,402887,3564493,3564565,72,847012
581,402815,402888,3590371,3590444,73,821133
582,402818,402876,1819290,1819348,58,1416414
583,402818,402876,1995047,1995105,58,1592171
584,402818,402876,2770055,2770113,58,1641467
585,402818,402876,2937763,2937821,58,1473759
586,402818,402876,2938052,2938110,58,1473470
587,402819,402876,575880,575937,57,173004
588,402819,402876,601068,601125,57,198192
589,402819,402882,1286863,1286926,63,883981
590,402819,402876,1733100,1733157,57,1330224
591,402819,402876,1954333,1954390,57,1551457
592,402819,402876,2113842,2113899,57,1710966
593,402819,402876,2239246,2239303,57,1836370
594,402819,402876,2741916,2741973,57,1669608
595,402819,402876,2924771,2924828,57,1486753
596,402819,402888,3237825,3237894,69,1173687
597,402819,402876,3665642,3665699,57,745882
598,402819,402876,3995480,3995537,57,416044
599,402826,402876,3547250,3547300,50,864288
600,404626,404817,404657,404848,191,4008540
601,404626,404786,404688,404848,160,4008540
602,404626,404755,404719,404848,129,4008540
603,416284,416347,1969338,1969401,63,1552991
604,416291,416347,900474,900530,56,484127
605,419313,419389,3351545,3351621,76,1076454
606,428615,428825,564497,564707,210,135672
607,430237,430351,1732401,1732515,114,1302050
608,430456,430517,1732620,1732681,61,1302103
609,444366,444462,1063889,1063985,96,619427
610,444714,444772,2400489,2400547,58,1955717
611,461099,461185,2053711,2053797,86,1592526
612,461625,461699,2052606,2052680,74,1590907
613,485349,485465,1322067,1322183,116,836602
614,497011,497161,497042,497192,150,4008581
615,497011,497130,497073,497192,119,4008581
616,497011,497099,2321862,2321950,88,1824763
617,497011,497068,2321893,2321950,57,1824825
618,497012,497130,2321832,2321950,118,1824702
619,497043,497161,2321832,2321950,118,1824671
620,497074,497247,2321832,2322005,173,1824585
621,497105,497192,2321832,2321919,87,1824640
622,497136,497192,2321832,2321888,56,1824640
623,497169,497232,729682,729745,63,232450
624,497169,497232,856886,856949,63,359654
625,497169,497232,857016,857079,63,359784
626,497169,497232,857188,857251,63,359956
627,497169,497232,873094,873157,63,375862
628,497169,497232,1525709,1525772,63,1028477
629,497169,497232,1776396,1776459,63,1279164
630,497169,497232,1776526,1776589,63,1279294
631,497169,497232,2183011,2183074,63,1685779
632,497169,497232,2483609,2483672,63,1986377
633,497169,497232,3234301,3234364,63,1271567
634,497169,497232,3259518,3259581,63,1246350
635,497169,497232,3330911,3330974,63,1174957
636,497169,497232,3331084,3331147,63,1174784
637,497169,497232,3331330,3331393,63,1174538
638,497169,497232,3331470,3331533,63,1174398
639,497169,497232,3386404,3386467,63,1119464
640,497169,497232,3402491,3402554,63,1103377
641,497169,497232,3402619,3402682,63,1103249
642,497169,497232,3507479,3507542,63,998389
643,497169,497232,3633940,3634003,63,871928
644,497169,497232,3634137,3634200,63,871731
645,497172,497232,1355101,1355161,60,857869
646,497175,497233,706884,706942,58,209651
647,497175,497232,1229226,1229283,57,731994
648,497175,497232,1302215,1302272,57,804983
649,497175,497232,2100495,2100552,57,1603263
650,497175,497232,2745591,2745648,57,1760289
651,497175,497232,2919235,2919292,57,1586645
652,497175,497233,2949781,2949839,58,1556098
653,497175,497232,3763797,3763854,57,742083
654,524225,524304,873232,873311,79,348928
655,537944,538023,3762793,3762872,79,783834
656,553128,553188,3891845,3891905,60,669985
657,563351,563434,1464024,1464107,83,900590
658,563353,563423,769657,769727,70,206234
659,563353,563432,3392988,3393067,79,1179048
660,563353,563424,3393182,3393253,71,1178862
661,563354,563423,3416430,3416499,69,1155617
662,563355,563434,769798,769877,79,206364
663,563355,563434,1002510,1002589,79,439076
664,563355,563424,1002673,1002742,69,439249
665,563355,563423,1464162,1464230,68,900739
666,563355,563423,1487219,1487287,68,923796
